split1,split2
"genus_Adiantum","genus_Adiantum"
"Adige","Adige"
"River_Adige","River_Adige"
"Adirondacks","Adirondacks"
"Adirondack_Mountains","Adirondack_Mountains"
"Aditi","Aditi"
"Aditya","Aditya"
"Adlumia","Adlumia"
"genus_Adlumia","genus_Adlumia"
"Admiralty_Island","Admiralty_Island"
"Admiralty_Islands","Admiralty_Islands"
"Admiralty_Range","Admiralty_Range"
"Admission_Day","Admission_Day"
"Adonic","Adonic"
"Adonic_line","Adonic_line"
"adonis","adonis"
"Adonis","Adonis"
"genus_Adonis","genus_Adonis"
"Adonis","Adonis"
"Hadrian","Hadrian"
"Publius_Aelius_Hadrianus","Publius_Aelius_Hadrianus"
"Adrian","Adrian"
"Adrian","Adrian"
"Edgar_Douglas_Adrian","Edgar_Douglas_Adrian"
"Baron_Adrian","Baron_Adrian"
"Adriatic","Adriatic"
"Adriatic_Sea","Adriatic_Sea"
"Advanced_Research_and_Development_Activity","Advanced_Research_and_Development_Activity"
"ARDA","ARDA"
"advent","advent"
"coming","coming"
"Advent","Advent"
"Second_Coming","Second_Coming"
"Second_Coming_of_Christ","Second_Coming_of_Christ"
"Second_Advent","Second_Advent"
"Advent","Advent"
"Parousia","Parousia"
"Advent_Sunday","Advent_Sunday"
"Adventism","Adventism"
"Second_Adventism","Second_Adventism"
"Adventist","Adventist"
"Second_Adventist","Second_Adventist"
"Adzhar","Adzhar"
"Adzharia","Adzharia"
"Aedes","Aedes"
"genus_Aedes","genus_Aedes"
"Aegates_Isles","Aegates_Isles"
"Aegadean_Isles","Aegadean_Isles"
"Aegean","Aegean"
"Aegean_Sea","Aegean_Sea"
"Aegean_civilization","Aegean_civilization"
"Aegean_civilisation","Aegean_civilisation"
"Aegean_culture","Aegean_culture"
"Aegean_island","Aegean_island"
"Aegiceras","Aegiceras"
"genus_Aegiceras","genus_Aegiceras"
"Aegilops","Aegilops"
"genus_Aegilops","genus_Aegilops"
"Aegina","Aegina"
"Aigina","Aigina"
"Aegina","Aegina"
"Aegisthus","Aegisthus"
"Aegospotami","Aegospotami"
"Aegospotamos","Aegospotamos"
"Aegospotami","Aegospotami"
"Aegospotamos","Aegospotamos"
"Aegypiidae","Aegypiidae"
"family_Aegypiidae","family_Aegypiidae"
"Aegypius","Aegypius"
"genus_Aegypius","genus_Aegypius"
"Aegyptopithecus","Aegyptopithecus"
"Aeneas","Aeneas"
"Aeneid","Aeneid"
"Aeolian","Aeolian"
"Eolian","Eolian"
"Aeolic","Aeolic"
"Eolic","Eolic"
"Aeolis","Aeolis"
"Aeolia","Aeolia"
"Aeolus","Aeolus"
"Aeonium","Aeonium"
"genus_Aeonium","genus_Aeonium"
"Aepyceros","Aepyceros"
"genus_Aepyceros","genus_Aepyceros"
"Aepyornidae","Aepyornidae"
"family_Aepyornidae","family_Aepyornidae"
"Aepyorniformes","Aepyorniformes"
"order_Aepyorniformes","order_Aepyorniformes"
"Aerobacter","Aerobacter"
"genus_Aerobacter","genus_Aerobacter"
"Aerobacter_aerogenes","Aerobacter_aerogenes"
"Aertex","Aertex"
"Aeschylus","Aeschylus"
"Aesculapius","Aesculapius"
"Asclepius","Asclepius"
"Asklepios","Asklepios"
"Aesculus","Aesculus"
"genus_Aesculus","genus_Aesculus"
"Aesir","Aesir"
"Aesop","Aesop"
"Aesop's_fables","Aesop's_fables"
"Aether","Aether"
"ether","ether"
"aether","aether"
"Aethionema","Aethionema"
"genus_Aethionema","genus_Aethionema"
"Aethusa","Aethusa"
"genus_Aethusa","genus_Aethusa"
"Aetobatus","Aetobatus"
"genus_Aetobatus","genus_Aetobatus"
"Affirmed","Affirmed"
"afghan","afghan"
"Afghan","Afghan"
"Afghanistani","Afghanistani"
"Pashto","Pashto"
"Pashtu","Pashtu"
"Paxto","Paxto"
"Afghani","Afghani"
"Afghan","Afghan"
"sheepskin_coat","sheepskin_coat"
"afghan","afghan"
"Afghan_hound","Afghan_hound"
"Afghan","Afghan"
"Afghan_monetary_unit","Afghan_monetary_unit"
"Afghanistan","Afghanistan"
"Islamic_State_of_Afghanistan","Islamic_State_of_Afghanistan"
"Aframomum","Aframomum"
"genus_Aframomum","genus_Aframomum"
"Africa","Africa"
"African","African"
"African-American","African-American"
"African_American","African_American"
"Afro-American","Afro-American"
"Black_American","Black_American"
"African_bowstring_hemp","African_bowstring_hemp"
"African_hemp","African_hemp"
"Sansevieria_guineensis","Sansevieria_guineensis"
"African_chameleon","African_chameleon"
"Chamaeleo_chamaeleon","Chamaeleo_chamaeleon"
"African_clawed_frog","African_clawed_frog"
"Xenopus_laevis","Xenopus_laevis"
"African_coral_snake","African_coral_snake"
"Aspidelaps_lubricus","Aspidelaps_lubricus"
"African_country","African_country"
"African_nation","African_nation"
"African_crocodile","African_crocodile"
"Nile_crocodile","Nile_crocodile"
"Crocodylus_niloticus","Crocodylus_niloticus"
"African_daisy","African_daisy"
"yellow_ageratum","yellow_ageratum"
"Lonas_inodora","Lonas_inodora"
"Lonas_annua","Lonas_annua"
"African_daisy","African_daisy"
"African_daisy","African_daisy"
"African_elephant","African_elephant"
"Loxodonta_africana","Loxodonta_africana"
"African_grey","African_grey"
"African_gray","African_gray"
"Psittacus_erithacus","Psittacus_erithacus"
"African_hemp","African_hemp"
"Sparmannia_africana","Sparmannia_africana"
"African_holly","African_holly"
"Solanum_giganteum","Solanum_giganteum"
"African_hunting_dog","African_hunting_dog"
"hyena_dog","hyena_dog"
"Cape_hunting_dog","Cape_hunting_dog"
"Lycaon_pictus","Lycaon_pictus"
"African_lily","African_lily"
"African_tulip","African_tulip"
"blue_African_lily","blue_African_lily"
"Agapanthus_africanus","Agapanthus_africanus"
"African_mahogany","African_mahogany"
"African_marigold","African_marigold"
"big_marigold","big_marigold"
"Aztec_marigold","Aztec_marigold"
"Tagetes_erecta","Tagetes_erecta"
"African_monitor","African_monitor"
"Varanus_niloticus","Varanus_niloticus"
"African_oil_palm","African_oil_palm"
"Elaeis_guineensis","Elaeis_guineensis"
"African_scented_mahogany","African_scented_mahogany"
"cedar_mahogany","cedar_mahogany"
"sapele_mahogany","sapele_mahogany"
"Entandrophragma_cylindricum","Entandrophragma_cylindricum"
"African_violet","African_violet"
"Saintpaulia_ionantha","Saintpaulia_ionantha"
"African_walnut","African_walnut"
"Lovoa_klaineana","Lovoa_klaineana"
"African_wild_ass","African_wild_ass"
"Equus_asinus","Equus_asinus"
"Africander","Africander"
"Africanized_bee","Africanized_bee"
"Africanized_honey_bee","Africanized_honey_bee"
"killer_bee","killer_bee"
"Apis_mellifera_scutellata","Apis_mellifera_scutellata"
"Apis_mellifera_adansonii","Apis_mellifera_adansonii"
"Afrikaans","Afrikaans"
"Taal","Taal"
"South_African_Dutch","South_African_Dutch"
"Afrikaner","Afrikaner"
"Afrikander","Afrikander"
"Boer","Boer"
"Afro","Afro"
"Afro_hairdo","Afro_hairdo"
"Afro-wig","Afro-wig"
"Afroasiatic","Afroasiatic"
"Afro-Asiatic","Afro-Asiatic"
"Afroasiatic_language","Afroasiatic_language"
"Afrasian","Afrasian"
"Afrasian_language","Afrasian_language"
"Hamito-Semitic","Hamito-Semitic"
"Afrocarpus","Afrocarpus"
"genus_Afrocarpus","genus_Afrocarpus"
"Aga","Aga"
"Agha","Agha"
"Agalinis","Agalinis"
"genus_Agalinis","genus_Agalinis"
"Agamemnon","Agamemnon"
"Agamidae","Agamidae"
"family_Agamidae","family_Agamidae"
"Agapornis","Agapornis"
"genus_Agapornis","genus_Agapornis"
"Agaricaceae","Agaricaceae"
"family_Agaricaceae","family_Agaricaceae"
"Agaricales","Agaricales"
"order_Agaricales","order_Agaricales"
"Agaricus","Agaricus"
"genus_Agaricus","genus_Agaricus"
"Agassiz","Agassiz"
"Louis_Agassiz","Louis_Agassiz"
"Jean_Louis_Rodolphe_Agassiz","Jean_Louis_Rodolphe_Agassiz"
"Agastache","Agastache"
